value1,value
11.46,1146
7,700
1.75,175
11.5,1150
8.17,817
0.585,58.5
6.5,650
4.46,446
1,100
7.08,708
1.75,175
5,500
1.25,125
5,500
2.71,271
6.04,604
4.5,450
9,900
1.25,125
5.665,566.5
0.585,58.5
0.585,58.5
1.335,133.5
1.75,175
9.585,958.5
1.5,150
0.125,12.5
3.04,304
12,1200
2.5,250
0.75,75
10.5,1050
1.375,137.5
11.5,1150
1.25,125
19,1900
12.5,1250
13.915,1391.5
8,800
3,300
0,0
1.5,150
1.125,112.5
0.54,54
0.415,41.5
10.25,1025
1.75,175
0.04,4
2,200
15,1500
3.5,350
4.125,412.5
0.125,12.5
1.75,175
3.25,325
1.5,150
6.5,650
2.5,250
4.915,491.5
12.25,1225
5,500
0.71,71
2,200
3.5,350
0.5,50
9.79,979
0.165,16.5
11.5,1150
2.835,283.5
1.585,158.5
26.335,2633.5
1.375,137.5
1.25,125
5.04,504
21.5,2150
4.25,425
0.335,33.5
3.5,350
0,0
1.46,146
3.5,350
3.75,375
10,1000
5,500
1,100
0,0
13.665,1366.5
13,1300
5.25,525
0.585,58.5
1.29,129
4.085,408.5
14.5,1450
5,500
10,1000
1.5,150
1.665,166.5
0.04,4
9.5,950
0.835,83.5
4,400
0.21,21
13.75,1375
0.585,58.5
0,0
0.875,87.5
2,200
9,900
13.585,1358.5
2.5,250
10.125,1012.5
6.5,650
4,400
0.915,91.5
0.25,25
0.08,8
10.335,1033.5
1,100
11,1100
8.5,850
5,500
0.835,83.5
1.5,150
19.5,1950
3.75,375
0.79,79
10,1000
0.375,37.5
4,400
3,300
12.5,1250
0.5,50
13.5,1350
2.71,271
0.835,83.5
4.415,441.5
0.585,58.5
9.5,950
0.5,50
3,300
10,1000
1.25,125
3.54,354
20,2000
1.25,125
15,1500
22.29,2229
2.875,287.5
4,400
8,800
0,0
1.5,150
7,700
0.415,41.5
6.5,650
0,0
0.165,16.5
0.835,83.5
1.585,158.5
4.165,416.5
2.5,250
1.625,162.5
0.375,37.5
4.04,404
3,300
0.165,16.5
2.5,250
8.46,846
0.205,20.5
10.415,1041.5
1.5,150
9.25,925
0.75,75
12.75,1275
9,900
3.165,316.5
4.25,425
0.165,16.5
4.04,404
5.04,504
1.25,125
0.75,75
12.5,1250
6.625,662.5
11.625,1162.5
2.5,250
4,400
1.54,154
0.665,66.5
1.835,183.5
3,300
14.79,1479
3.54,354
0,0
0.585,58.5
11.25,1125
7.5,750
0.25,25
0.335,33.5
2.5,250
10,1000
1.75,175
1.04,104
2.085,208.5
3,300
0,0
5.085,508.5
8.125,812.5
1.25,125
0.5,50
0.46,46
0.5,50
5.5,550
12,1200
2.54,254
4.625,462.5
2.165,216.5
5.5,550
0.29,29
0.875,87.5
6.5,650
7,700
0.58,58
4.75,475
2.25,225
1.165,116.5
3,300
9.96,996
8.5,850
2.29,229
3,300
1.5,150
2.25,225
28,2800
0.165,16.5
11.25,1125
2.5,250
6,600
0.75,75
12,1200
15,1500
2.5,250
7.585,758.5
5.5,550
13,1300
0.5,50
0.165,16.5
14.5,1450
2,200
1.54,154
9,900
13.335,1333.5
15,1500
1.25,125
10,1000
1.835,183.5
1.125,112.5
4.25,425
0.75,75
