A5,Category,Count
4,1,20
8,2,11
4,3,22
5,4,28
6,5,5
8,6,21
3,7,12
11,8,55
2,9,21
4,10,10
14,11,26
11,12,2
8,13,11
14,14,15
8,,
4,,
9,,
6,,
4,,
11,,
6,,
6,,
2,,
4,,
6,,
13,,
4,,
8,,
8,,
8,,
8,,
14,,
8,,
9,,
7,,
1,,
6,,
9,,
8,,
14,,
13,,
6,,
14,,
8,,
8,,
11,,
8,,
8,,
10,,
8,,
4,,
3,,
4,,
8,,
11,,
9,,
6,,
3,,
9,,
7,,
3,,
9,,
3,,
3,,
11,,
14,,
11,,
3,,
1,,
13,,
1,,
9,,
9,,
8,,
10,,
11,,
4,,
8,,
4,,
9,,
13,,
1,,
2,,
3,,
8,,
8,,
11,,
3,,
9,,
1,,
4,,
6,,
2,,
8,,
11,,
9,,
6,,
7,,
6,,
11,,
8,,
4,,
9,,
13,,
1,,
14,,
14,,
6,,
4,,
8,,
4,,
8,,
3,,
6,,
3,,
7,,
13,,
14,,
11,,
8,,
8,,
8,,
1,,
8,,
13,,
9,,
11,,
8,,
5,,
2,,
6,,
10,,
1,,
8,,
1,,
8,,
1,,
7,,
8,,
8,,
4,,
1,,
1,,
14,,
11,,
10,,
10,,
11,,
2,,
10,,
8,,
8,,
10,,
8,,
4,,
7,,
11,,
10,,
9,,
14,,
8,,
2,,
8,,
3,,
3,,
2,,
1,,
14,,
6,,
6,,
7,,
8,,
3,,
8,,
11,,
14,,
1,,
1,,
13,,
11,,
9,,
4,,
13,,
2,,
9,,
13,,
8,,
9,,
9,,
5,,
4,,
6,,
3,,
8,,
8,,
8,,
11,,
11,,
1,,
6,,
8,,
5,,
12,,
8,,
11,,
9,,
5,,
4,,
8,,
7,,
4,,
4,,
8,,
4,,
1,,
11,,
8,,
3,,
4,,
11,,
8,,
8,,
8,,
7,,
3,,
4,,
3,,
10,,
13,,
11,,
11,,
9,,
14,,
8,,
1,,
14,,
3,,
1,,
4,,
7,,
10,,
4,,
3,,
8,,
2,,
3,,
6,,
1,,
4,,
3,,
6,,
6,,
12,,
9,,
11,,
8,,
2,,
7,,
7,,
